source,degree_centrality,closeness_centrality,betweenness_centrality,pagerank,hits_hubs,hits_authorities
61997CJ0279,9.051412020275162e-05,0.0,0.0,2.769082607392964e-05,2.86323647944719e-191,0.0
61995CJ0025,0.0005430847212165098,0.0667419699608998,0.00016949851468455653,0.00010696050618588348,2.1734106936582653e-06,6.374122389454187e-06
62000CJ0204,0.005159304851556842,0.0554517914237147,0.001020221868289816,0.0006987139291053785,3.7492687507796034e-05,0.00020990225604149376
62002CJ0008,0.0010861694424330196,0.056493631545864266,1.609334990507869e-05,5.8709635773982414e-05,0.0002771616678562218,0.0004253540561268012
62001CJ0056,0.0017197682838522809,0.06352057160358746,0.000937789661304759,0.00010705391074429987,0.000263045405620354,0.0002639049762676043
61999CJ0385,0.0015387400434467777,0.061007273828701816,7.200028758817199e-05,0.0001771210596261647,0.0002268118688022088,0.0006918695187699112
61999CJ0269,0.0004525706010137581,0.04703459572451438,2.745238555020825e-06,9.410864327861056e-05,1.3344043961976703e-06,1.6639912546309907e-05
61998CJ0006,0.0008146270818247646,0.04829972880263851,3.447632940403085e-05,6.726199940610924e-05,0.00014033588315723225,0.00020043324112216764
61997CJ0256,0.0012671976828385228,0.05308096900715207,0.0002617497743161949,6.428109621014295e-05,5.041824807962628e-05,5.9748946661048784e-05
61994CJ0039,0.0022628530050687904,0.07209167715833147,0.003611869489516864,0.00044547707959976206,2.6587605526216298e-05,0.00015114017439396988
62001CJ0361,0.0003620564808110065,0.043164969972609435,2.512347940966473e-06,4.317980384637673e-05,4.967563124185337e-07,4.0356141562389386e-05
62003CJ0208,0.0009956553222302679,0.04397274213306973,0.0007795927867280651,0.0001481201528402737,6.978166931941208e-05,1.273348051310452e-05
61999CJ0201,0.0003620564808110065,0.00018102824040550325,7.538063780803069e-08,3.097169671354172e-05,9.717611265289288e-07,5.789393984517918e-06
61998CJ0339,0.0006335988414192614,0.03788026874014925,0.0,0.00037123686088861825,0.0,4.231021147729351e-07
61993CJ0401,0.0002715423606082549,0.0006470536430710218,1.8927094927885966e-06,3.2333670475580854e-05,1.6145315652263282e-07,8.546501126071091e-07
61993CJ0011,0.0002715423606082549,0.0002896451846488052,0.0,4.822495732905847e-05,0.0,3.008667784243913e-07
61997CJ0211,9.051412020275162e-05,0.0,0.0,2.769082607392964e-05,2.86323647944719e-191,0.0
61996CJ0132,0.00018102824040550325,0.00021119961380642045,4.389470484310528e-05,4.241831095038704e-05,2.86323647944719e-191,1.6375524404864753e-166
61994CJ0245,0.0008146270818247646,0.0007317085521285376,0.00025718710374903527,6.105581743994259e-05,4.8239351922926315e-06,2.7319243448556274e-05
61993CJ0301,,,,,,
62004CJ0423,0.0005430847212165098,0.04603017175710015,0.00026121291471724686,5.504106628803522e-05,6.958585800680325e-05,0.00010085667886527838
61999CJ0270,0.0006335988414192614,0.03538088310440467,0.00026559468655289496,4.8579639129146305e-05,2.6866169810528333e-07,8.920772698089028e-08
61993CJ0414,,,,,,
