,case_id,law_id,cited_article,law_type
103312,62012CO0354,32009R0207,ENTIRE_ARTICLE,R
103321,62012CO0357,31994R0040,ENTIRE_ARTICLE,R
103332,62012CO0379,31994R0040,A08P1,R
103352,62012CO0393,32009R0207,A08P1LB,R
103365,62012CO0410,32009R0207,ENTIRE_ARTICLE,R
103373,62012CO0415,32003L0088,A07,L
103386,62012CO0422,32009R0207,ENTIRE_ARTICLE,R
103396,62012CO0430,31972R0574,A02P1,R
103410,62012CO0444,32006L0112,ENTIRE_ARTICLE,L
103440,62012CO0469,32001R0044,ENTIRE_ARTICLE,R
103473,62012CO0524,31994R0040,A08P1LB,R
103500,62012CO0537,31993L0013,NPT2LA,L
103592,62012CO0608,32009R0207,ENTIRE_ARTICLE,R
103654,62013CJ0001,32001R0044,ENTIRE_ARTICLE,R
103668,62013CJ0002,31987R2658,TR1AP2LA,R
103678,62013CJ0003,31993R2454,ENTIRE_ARTICLE,R
103699,62013CJ0004,31972R0574,ENTIRE_ARTICLE,R
103712,62013CJ0007,32006L0112,N2,L
103743,62013CJ0015,32004L0018,ENTIRE_ARTICLE,L
103771,62013CJ0018,32006L0112,ENTIRE_ARTICLE,L
103796,62013CJ0019,32004L0018,ENTIRE_ARTICLE,L
103815,62013CJ0020,32000L0078,ENTIRE_ARTICLE,L
103876,62013CJ0022,32000L0078,A03P1LC,L
103902,62013CJ0026,31993L0013,NPT2LD,L
103911,62013CJ0029,31993R2454,A181BISP2,R
103958,62013CJ0032,31971R1408,TIT3CH8,R
103984,62013CJ0034,31993L0013,ENTIRE_ARTICLE,L
104002,62013CJ0037,32003R0001,A20P4,R
104016,62013CJ0038,32000L0078,ENTIRE_ARTICLE,L
104039,62013CJ0042,32004L0018,N2APT16,L
104067,62013CJ0045,32001R0044,ENTIRE_ARTICLE,R
104162,62013CJ0060,31992R2913,A217P1LB,R
104287,62013CJ0069,31999R0659,ENTIRE_ARTICLE,R
104302,62013CJ0074,31993R2454,A239,R
104315,62013CJ0075,31992R2913,A96P1,R
104368,62013CJ0081,31972R0574,ENTIRE_ARTICLE,R
104447,62013CJ0090,32003R0001,A23P2,R
104474,62013CJ0092,32006L0112,ENTIRE_ARTICLE,L
104493,62013CJ0098,32009R0207,A09P2,R
104542,62013CJ0103,31971R1408,N6,R
104593,62013CJ0107,32006L0112,ENTIRE_ARTICLE,L
104631,62013CJ0112,32001R0044,ENTIRE_ARTICLE,R
104638,62013CJ0113,32004L0018,A22,L
104656,62013CJ0114,31972R0574,ENTIRE_ARTICLE,R
104694,62013CJ0117,32001L0029,C51,L
104701,62013CJ0118,32003L0088,ENTIRE_ARTICLE,L
104778,62013CJ0126,32009R0207,A07P1LC,R
104806,62013CJ0127,32001R1049,ENTIRE_ARTICLE,R
104844,62013CJ0129,31992R2913,ENTIRE_ARTICLE,R
