case_id,bcoefficient,publication_year,total_citations,max_citations_in_a_year,max_citation_year,awakening_time_year,sleep_time_years,time_from_awakening_to_peak_years,top_cited,source_x,case_label,ecli,case_type,judge,advocate,country,country-chamber,chamber,main_subject,lodge_date,document_date,year_document,month_document,year_lodge,month_lodge,case_time,n_countries,joined_cases,ruling_title,ruling_name,ruling_type,ruling_content,source_y,subject
61960CJ0025,1081.0,1962,1,1,2009,2008,46,1,0,61960CJ0025,  Case 25/60,EU:C:1962:6,Judgement,Rossi,Lagrange,not_specified,not_specified-First Chamber,First Chamber,1,1961-03-28,1962-03-01,1962,3,1961.0,3.0,338 days 00:00:00.000000000,1,0,Judgment of the Court (First Chamber) of 1 March 1962. , Mrs Leda De Bruyn v European Parliament. ,not_specified, Mrs Leda De Bruyn v European Parliament. ,61960CJ0025,Staff regulations and employment conditions - EC
61962CJ0036,1035.0,1963,1,1,2009,2008,45,1,0,61962CJ0036,  Case 36-62,EU:C:1963:57,Judgement,Strauss,Lagrange,France,France-not_specified,not_specified,2,1962-12-28,1963-12-16,1963,12,1962.0,12.0,353 days 00:00:00.000000000,1,0,Judgment of the Court of 16 December 1963. , Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,not_specified, Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,61962CJ0036,Financial provisions ECSC
61962CJ0036,1035.0,1963,1,1,2009,2008,45,1,0,61962CJ0036,  Case 36-62,EU:C:1963:57,Judgement,Strauss,Lagrange,France,France-not_specified,not_specified,2,1962-12-28,1963-12-16,1963,12,1962.0,12.0,353 days 00:00:00.000000000,1,0,Judgment of the Court of 16 December 1963. , Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,not_specified, Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,61962CJ0036,Non-contractual liability
61962CJ0036,1035.0,1963,1,1,2009,2008,45,1,0,61962CJ0036,  Case 36-62,EU:C:1963:57,Judgement,Strauss,Lagrange,France,France-not_specified,not_specified,2,1962-12-28,1963-12-16,1963,12,1962.0,12.0,353 days 00:00:00.000000000,1,0,Judgment of the Court of 16 December 1963. , Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,not_specified, Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,61962CJ0036,Steel industry
61962CJ0036,1035.0,1963,1,1,2009,2008,45,1,0,61962CJ0036,  Case 36-62,EU:C:1963:57,Judgement,Strauss,Lagrange,France,France-not_specified,not_specified,2,1962-12-28,1963-12-16,1963,12,1962.0,12.0,353 days 00:00:00.000000000,1,0,Judgment of the Court of 16 December 1963. , Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,not_specified, Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,61962CJ0036,Scrap equalisation
61962CJ0036,1035.0,1963,1,1,2009,2008,45,1,0,61962CJ0036,  Case 36-62,EU:C:1963:57,Judgement,Strauss,Lagrange,France,France-not_specified,not_specified,2,1962-12-28,1963-12-16,1963,12,1962.0,12.0,353 days 00:00:00.000000000,1,0,Judgment of the Court of 16 December 1963. , Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,not_specified, Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,61962CJ0036,ECSC matters
61962CJ0036,1035.0,1963,1,1,2009,2008,45,1,0,61962CJ0036,  Case 36-62,EU:C:1963:57,Judgement,Strauss,Lagrange,France,France-not_specified,not_specified,2,1962-12-28,1963-12-16,1963,12,1962.0,12.0,353 days 00:00:00.000000000,1,0,Judgment of the Court of 16 December 1963. , Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,not_specified, Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,61962CJ0036,Financial provisions ECSC
61962CJ0036,1035.0,1963,1,1,2009,2008,45,1,0,61962CJ0036,  Case 36-62,EU:C:1963:57,Judgement,Strauss,Lagrange,France,France-not_specified,not_specified,2,1962-12-28,1963-12-16,1963,12,1962.0,12.0,353 days 00:00:00.000000000,1,0,Judgment of the Court of 16 December 1963. , Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,not_specified, Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,61962CJ0036,Non-contractual liability
61962CJ0036,1035.0,1963,1,1,2009,2008,45,1,0,61962CJ0036,  Case 36-62,EU:C:1963:57,Judgement,Strauss,Lagrange,France,France-not_specified,not_specified,2,1962-12-28,1963-12-16,1963,12,1962.0,12.0,353 days 00:00:00.000000000,1,0,Judgment of the Court of 16 December 1963. , Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,not_specified, Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,61962CJ0036,Steel industry
61962CJ0036,1035.0,1963,1,1,2009,2008,45,1,0,61962CJ0036,  Case 36-62,EU:C:1963:57,Judgement,Strauss,Lagrange,France,France-not_specified,not_specified,2,1962-12-28,1963-12-16,1963,12,1962.0,12.0,353 days 00:00:00.000000000,1,0,Judgment of the Court of 16 December 1963. , Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,not_specified, Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,61962CJ0036,Scrap equalisation
61962CJ0036,1035.0,1963,1,1,2009,2008,45,1,0,61962CJ0036,  Case 36-62,EU:C:1963:57,Judgement,Strauss,Lagrange,France,France-not_specified,not_specified,2,1962-12-28,1963-12-16,1963,12,1962.0,12.0,353 days 00:00:00.000000000,1,0,Judgment of the Court of 16 December 1963. , Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,not_specified, Société des Aciéries du Temple v High Authority of the European Coal and Steel Community. ,61962CJ0036,ECSC matters
