,case_id,bcoefficient,publication_year,total_citations,max_citations_in_a_year,max_citation_year,awakening_time_year,sleep_time_years,time_from_awakening_to_peak_years,peak_year_relative_importance,sleep_to_peak_ratio,case_label,ecli,case_type,judge,advocate,country,country-chamber,chamber,main_subject,lodge_date,document_date,year_document,month_document,year_lodge,month_lodge,case_time,n_countries,joined_cases,ruling_title,ruling_name,degree_centrality,closeness_centrality,betweenness_centrality,pagerank,hits_hubs,hits_authorities,case_name,top_cited,source,subject
1185,62016CJ0268,0.0,2017,1,0,2017,2017,0,0,0.0,0.0,Case C-268/16 P,EU:C:2017:1001,Judgement,JuhÃ¡sz,Bobek,Germany,Germany-Fourth Chamber,Fourth Chamber,2,2016-05-11,2017-12-20,2017,12,2016.0,5.0,1.610958904109589,1,0,Judgment of the Court (Fourth Chamber) of 20 December 2017.,Binca Seafoods GmbH v European Commission.,9.051412020275162e-05,0.0,0.0,2.769082607392964e-05,1.4390330765182658e-06,0.0,62016CJ0268: Binca Seafoods GmbH v European Commission.,0,62016CJ0268,Environment
1249,62015CJ0320,0.0,2017,3,1,2018,2017,0,1,0.3333333333333333,0.0,Case C-320/15,EU:C:2017:678,Judgement,Borg Barthet,Bobek,Greece,Greece-Tenth Chamber,Tenth Chamber,1,2015-06-26,2017-09-14,2017,9,2015.0,6.0,2.221917808219178,1,0,Judgment of the Court (Tenth Chamber) of 14 September 2017.,European Commission v Hellenic Republic.,0.0003620564808110065,9.051412020275162e-05,1.1047948678377111e-05,3.239251655387469e-05,6.215462155973887e-07,1.0810307638383667e-05,62015CJ0320: European Commission v Hellenic Republic.,0,62015CJ0320,Environment
1250,62015CJ0502,0.0,2017,1,1,2018,2017,0,1,1.0,0.0,Case C-502/15,EU:C:2017:334,Judgement,Lycourgos,Bobek,United Kingdom,United Kingdom-Ninth Chamber,Ninth Chamber,1,2015-09-22,2017-05-04,2017,5,2015.0,9.0,1.6164383561643836,1,0,Judgment of the Court (Ninth Chamber) of 4 May 2017.,European Commission v United Kingdom of Great Britain and Northern Ireland.,0.0005430847212165098,9.051412020275162e-05,4.381089895212392e-05,5.1199278473654884e-05,3.6981061988720494e-07,5.41820652323723e-190,62015CJ0502: European Commission v United Kingdom of Great Britain and Northern Ireland.,0,62015CJ0502,Environment
1251,62015CJ0038,0.0,2016,2,1,2016,2016,0,0,0.5,0.0,Case C-38/15,EU:C:2016:156,Judgement,Bonichot,Bobek,Spain,Spain-Sixth Chamber,Sixth Chamber,1,2015-02-02,2016-03-10,2016,3,2015.0,2.0,1.1013698630136985,1,0,Judgment of the Court (Sixth Chamber) of 10 March 2016.,European Commission v Kingdom of Spain.,0.0003620564808110065,0.0002036567704561912,5.687217318675752e-05,4.860245903120159e-05,4.95933844973863e-08,5.8500413842866125e-08,62015CJ0038: European Commission v Kingdom of Spain.,0,62015CJ0038,Environment
1376,62011CJ0036,0.0,2012,1,1,2013,2012,0,1,1.0,0.0,Case Câ36/11,EU:C:2012:534,Judgement,Bay Larsen,Bot,Italy,Italy-Fourth Chamber,Fourth Chamber,4,2011-01-24,2012-09-06,2012,9,2011.0,1.0,1.6191780821917807,1,0,Judgment of the Court (Fourth Chamber); 6 September 2012.,Pioneer Hi Bred Italia Srl v Ministero delle Politiche agricole alimentari e forestali.,9.051412020275162e-05,9.051412020275162e-05,0.0,5.1199278473654884e-05,0.0,5.41820652323723e-190,62011CJ0036: Pioneer Hi Bred Italia Srl v Ministero delle Politiche agricole alimentari e forestali.,0,62011CJ0036,Environment
1381,62011CJ0036,0.0,2012,1,1,2013,2012,0,1,1.0,0.0,Case Câ36/11,EU:C:2012:534,Judgement,Bay Larsen,Bot,Italy,Italy-Fourth Chamber,Fourth Chamber,4,2011-01-24,2012-09-06,2012,9,2011.0,1.0,1.6191780821917807,1,0,Judgment of the Court (Fourth Chamber); 6 September 2012.,Pioneer Hi Bred Italia Srl v Ministero delle Politiche agricole alimentari e forestali.,9.051412020275162e-05,9.051412020275162e-05,0.0,5.1199278473654884e-05,0.0,5.41820652323723e-190,62011CJ0036: Pioneer Hi Bred Italia Srl v Ministero delle Politiche agricole alimentari e forestali.,0,62011CJ0036,Environment
1386,62011CJ0036,0.0,2012,1,1,2013,2012,0,1,1.0,0.0,Case Câ36/11,EU:C:2012:534,Judgement,Bay Larsen,Bot,Italy,Italy-Fourth Chamber,Fourth Chamber,4,2011-01-24,2012-09-06,2012,9,2011.0,1.0,1.6191780821917807,1,0,Judgment of the Court (Fourth Chamber); 6 September 2012.,Pioneer Hi Bred Italia Srl v Ministero delle Politiche agricole alimentari e forestali.,9.051412020275162e-05,9.051412020275162e-05,0.0,5.1199278473654884e-05,0.0,5.41820652323723e-190,62011CJ0036: Pioneer Hi Bred Italia Srl v Ministero delle Politiche agricole alimentari e forestali.,0,62011CJ0036,Environment
1391,62011CJ0036,0.0,2012,1,1,2013,2012,0,1,1.0,0.0,Case Câ36/11,EU:C:2012:534,Judgement,Bay Larsen,Bot,Italy,Italy-Fourth Chamber,Fourth Chamber,4,2011-01-24,2012-09-06,2012,9,2011.0,1.0,1.6191780821917807,1,0,Judgment of the Court (Fourth Chamber); 6 September 2012.,Pioneer Hi Bred Italia Srl v Ministero delle Politiche agricole alimentari e forestali.,9.051412020275162e-05,9.051412020275162e-05,0.0,5.1199278473654884e-05,0.0,5.41820652323723e-190,62011CJ0036: Pioneer Hi Bred Italia Srl v Ministero delle Politiche agricole alimentari e forestali.,0,62011CJ0036,Environment
2086,62017CJ0185,0.0,2018,1,0,2018,2018,0,0,0.0,0.0,Case C-185/17,EU:C:2018:108,Judgement,Berger,Bot,Bulgaria,Bulgaria-Tenth Chamber,Tenth Chamber,2,2017-04-10,2018-02-22,2018,2,2017.0,4.0,0.8712328767123287,1,0,Judgment of the Court (Tenth Chamber) of 22 February 2018.,Mitnitsa Varna v „SAKSA“ ООD.,0.0002715423606082549,0.0,0.0,2.769082607392964e-05,8.257868166234858e-09,0.0,62017CJ0185: Mitnitsa Varna v „SAKSA“ ООD.,0,62017CJ0185,Environment
2088,62015CJ0069,0.0,2016,2,1,2017,2016,0,1,0.5,0.0,Case C-69/15,EU:C:2016:425,Judgement,Lycourgos,Bot,Hungary,Hungary-Fourth Chamber,Fourth Chamber,1,2015-02-16,2016-06-09,2016,6,2015.0,2.0,1.3123287671232877,1,0,Judgment of the Court (Fourth Chamber) of 9 June 2016.,Nutrivet D.O.O.E.L. v Országos Környezetvédelmi és Természetvédelmi Főfelügyelőség.,0.0005430847212165098,0.00016292541636495292,3.031587784905384e-05,4.16471455362938e-05,1.0206153965100224e-06,2.537568135198588e-157,62015CJ0069: Nutrivet D.O.O.E.L. v Országos Környezetvédelmi és Természetvédelmi Főfelügyelőség.,0,62015CJ0069,Environment
